modele,MAE,RMSE,R2,temps_s
Linear Regression,0.562713766740719,0.9069655623930021,0.540334630248587,0.014
Ridge,0.5627226348021659,0.9068929226159649,0.5404082574164446,0.007
Lasso,0.47733055512404754,0.9073698298947088,0.5399247598114904,0.033
Decision Tree,0.15160905395333107,0.3684253999226174,0.9241493478626632,0.012
Random Forest,0.0379138213400824,0.12223652453511956,0.9916504671319308,0.214
Gradient Boosting,0.032000243068756616,0.09690635101072786,0.9947523522760914,1.214
XGBoost,0.0450496467251435,0.14456209331085498,0.9883219844690596,0.833
